"uniqueID","Author.order","Author.name"
90,"Author.1","Elferink, Alex G. Oude"
92,"Author.1","Popova, Ekaterina"
92,"Author.2","Vousden, David"
92,"Author.3","Sauer, Warwick H. H."
92,"Author.4","Mohammed, Essam Y."
92,"Author.5","Allain, Valerie"
92,"Author.6","Downey-Breedt, Nicola"
92,"Author.7","Fletcher, Ruth"
92,"Author.8","Gjerde, Kristina M."
92,"Author.9","Halpin, Patrick N."
92,"Author.10","Kelly, Stephen"
92,"Author.11","Obura, David"
92,"Author.12","Pecl, Gretta"
92,"Author.13","Roberts, Michael"
92,"Author.14","Raitsos, Dionysios E."
92,"Author.15","Rogers, Alex"
92,"Author.16","Samoilys, Melita"
92,"Author.17","Sumaila, Ussif Rashid"
92,"Author.18","Tracey, Sean"
92,"Author.19","Yool, Andrew"
94,"Author.1","Gjerde, Kristina M."
94,"Author.2","Clark, Nichola A."
94,"Author.3","Harden-Davies, Harriet R."
101,"Author.1","Friedman, Andrew"
109,"Author.1","Reeve, Lora L. Nordtvedt"
110,"Author.1","Ardyantara, David Maharya"
113,"Author.1","Wang, Y."
118,"Author.1","Tiller, Rachel"
118,"Author.2","De Santo, Elizabeth"
118,"Author.3","Mendenhall, Elizabeth"
118,"Author.4","Nyman, Elizabeth"
120,"Author.1","Hassanali, Kahlil"
122,"Author.1","Tiller, Rachel"
122,"Author.2","Nyman, Elizabeth"
125,"Author.1","De Santo, Elizabeth M."
139,"Author.1","Dunn, Daniel C."
139,"Author.2","Jablonicky, Caroline"
139,"Author.3","Crespo, Guillermo O."
139,"Author.4","McCauley, Douglas J."
139,"Author.5","Kroodsma, David A."
139,"Author.6","Boerder, Kristina"
139,"Author.7","Gjerde, Kristina M."
139,"Author.8","Halpin, Patrick N."
145,"Author.1","Pentz, Brian"
145,"Author.2","Klenk, Nicole"
145,"Author.3","Ogle, Sharron"
145,"Author.4","Fisher, Jonathan A. D."
147,"Author.1","Goodman, Camille"
147,"Author.2","Matley, Holly"
158,"Author.1","Li Jingchang"
159,"Author.1","Elferink, Alex G. Oude"
161,"Author.1","Goodman, Camille"
161,"Author.2","Matley, Holly"
162,"Author.1","Scanlon, Zoe"
164,"Author.1","Harden-Davies, Harriet"
165,"Author.1","Ridings, Penelope"
166,"Author.1","Mossop, Joanna"
170,"Author.1","Marciniak, Konrad Jan"
171,"Author.1","Blanchard, Catherine"
188,"Author.1","Warner, Robin"
189,"Author.1","Durussel, Carole"
189,"Author.2","Oyarzun, Eulogio Soto"
189,"Author.3","Urrutia, Osvaldo S."
190,"Author.1","Quirk, Genevieve C."
190,"Author.2","Harden-Davies, Harriet R."
191,"Author.1","Johnson, Constance M."
192,"Author.1","Ribeiro, Marta Chantal"
