"SWOT.Cats","Negotiation.phase","msg.number","Message"
"O II","IGC",168,"users"
"O II","IGC",168,"stakeholders"
"O II","IGC",168,"create"
"O II","IGC",168,"richer"
"O II","IGC",168,"dialogue"
"O II","IGC",168,"tools"
"O II","IGC",168,"approaches"
"O II","IGC",168,"balance"
"O II","IGC",168,"conservation"
"O II","IGC",168,"sustainable"
"O III","IGC",169,"connectivity"
"O III","IGC",169,"candidate"
"O III","IGC",169,"abnj"
"O III","IGC",169,"mpas"
"O III","IGC",169,"adjoining"
"O III","IGC",169,"eezs"
"O III","IGC",169,"ensure"
"O III","IGC",169,"major"
"O III","IGC",169,"types"
"O III","IGC",169,"services"
"O III","IGC",169,"mpas"
"O III","IGC",169,"provide"
"O III","IGC",169,"maximized"
"O III","IGC",169,"benefit"
"O III","IGC",169,"coastal"
"O I","IGC",170,"management"
"O I","IGC",170,"bodies"
"O I","IGC",170,"overlapping"
