"SWOT.Cats","Negotiation.phase","msg.number","Message"
"O II","IGC",104,"rfmos"
"O II","IGC",104,"actively"
"O II","IGC",104,"engage"
"O II","IGC",104,"international"
"O II","IGC",104,"fora"
"O II","IGC",104,"demonstrate"
"O II","IGC",104,"willingness"
"O II","IGC",104,"improve"
"O IV","IGC",105,"art"
"O IV","IGC",105,"technology"
"O IV","IGC",105,"conserve"
"O IV","IGC",105,"sustain"
"O IV","IGC",105,"marine"
"O IV","IGC",105,"biodiversity"
"O IV","IGC",105,"clarify"
"O IV","IGC",105,"level"
"O IV","IGC",105,"protection"
"O IV","IGC",105,"afforded"
"O IV","IGC",105,"abmts"
"O IV","IGC",105,"scales"
"O IV","IGC",105,"days"
"O IV","IGC",105,"local"
"O IV","IGC",105,"global"
"S III","IGC",106,"resilience"
"S III","IGC",106,"related"
"S III","IGC",106,"concepts"
"S III","IGC",106,"included"
"S III","IGC",106,"text"
"T I","IGC",107,"vagueness"
"T I","IGC",107,"flexibility"
"T I","IGC",107,"undermine"
"T I","IGC",107,"concept"
"T I","IGC",107,"leaves"
"T I","IGC",107,"broader"
"T I","IGC",107,"debate"
"T I","IGC",107,"nature"
"T I","IGC",107,"institutional"
"T I","IGC",107,"architecture"
"O I","IGC",108,"adoption"
"O I","IGC",108,"global"
"O I","IGC",108,"model"
"O I","IGC",108,"standards"
"O I","IGC",108,"guidelines"
"O I","IGC",108,"restrictions"
"O I","IGC",108,"freedoms"
"O I","IGC",108,"seas"
"S III","IGC",109,"concepts"
"S III","IGC",109,"restoration"
"S III","IGC",109,"remediation"
"S III","IGC",109,"reinstatement"
"S III","IGC",109,"referred"
"S III","IGC",109,"draft"
"S III","IGC",109,"text"
"O VI","IGC",110,"create"
"O VI","IGC",110,"funds"
"O VI","IGC",110,"assist"
"O VI","IGC",110,"developed"
"O VI","IGC",110,"countries"
"O VI","IGC",110,"attending"
"O VI","IGC",110,"preparatory"
"O VI","IGC",110,"meetings"
"W III","IGC",111,"fishing"
"W III","IGC",111,"activities"
"W III","IGC",111,"addressed"
"O VI","IGC",112,"vulnerable"
"O VI","IGC",112,"communities"
"O VI","IGC",112,"dependent"
"O VI","IGC",112,"marine"
"O VI","IGC",112,"resources"
"O VI","IGC",112,"properly"
"O VI","IGC",112,"account"
"O VI","IGC",112,"benefit"
"O VI","IGC",112,"conservation"
"O VI","IGC",112,"sustainable"
"O VI","IGC",112,"marine"
"O VI","IGC",112,"biodiversity"
"O VI","IGC",112,"abnj"
"S II","IGC",113,"action"
"S II","IGC",113,"premised"
"S II","IGC",113,"pillars"
"S II","IGC",113,"due"
"S II","IGC",113,"regard"
"S II","IGC",113,"sovereignty"
"S II","IGC",113,"recognition"
"S II","IGC",113,"ocean"
"S II","IGC",113,"space"
"S II","IGC",113,"closely"
"S II","IGC",113,"interrelated"
"S II","IGC",113,"considered"
"W III","IGC",114,"absence"
"W III","IGC",114,"entity"
"W III","IGC",114,"capable"
"W III","IGC",114,"driving"
"W III","IGC",114,"implementation"
"W III","IGC",114,"forward"
"W III","IGC",114,"existing"
"W III","IGC",114,"governance"
"W III","IGC",114,"gaps"
"W III","IGC",114,"persist"
"S I","IGC",115,"parties"
"S I","IGC",115,"obligation"
"S I","IGC",115,"employ"
"S I","IGC",115,"practice"
"S I","IGC",115,"standards"
"S I","IGC",115,"based"
"S I","IGC",115,"scientific"
"S I","IGC",115,"evidence"
"S I","IGC",115,"decision"
"S I","IGC",115,"management"
"S I","IGC",115,"enhanced"
"S I","IGC",115,"protection"
"S I","IGC",115,"designation"
"S I","IGC",115,"mpas"
"T VI","IGC",116,"facilitated"
"T VI","IGC",116,"access"
"T VI","IGC",116,"utilization"
"T VI","IGC",116,"seas"
"T VI","IGC",116,"negative"
"T VI","IGC",116,"impacts"
"W I","IGC",117,"lack"
"W I","IGC",117,"unified"
"W I","IGC",117,"criteria"
"W I","IGC",117,"implementation"
"W I","IGC",117,"mpas"
"W III","IGC",118,"marine"
"W III","IGC",118,"plastic"
"W III","IGC",118,"pollution"
"W III","IGC",118,"ocean"
"W III","IGC",118,"acidification"
"W III","IGC",118,"barely"
"W III","IGC",118,"mentioned"
"W III","IGC",118,"session"
"O VI","PrepCom",119,"evaluate"
"O VI","PrepCom",119,"enhance"
"O VI","PrepCom",119,"capacity"
"O VI","PrepCom",119,"building"
"O VI","PrepCom",119,"apparatus"
"O VI","PrepCom",119,"ocean"
"O VI","PrepCom",119,"management"
"O V","PrepCom",120,"relevant"
"O V","PrepCom",120,"regional"
"O V","PrepCom",120,"organizations"
"O V","PrepCom",120,"mandate"
"O V","PrepCom",120,"identify"
"O V","PrepCom",120,"submit"
"O V","PrepCom",120,"mpa"
"O V","PrepCom",120,"proposals"
"O V","PrepCom",120,"management"
"O V","PrepCom",120,"responsibility"
"O V","PrepCom",120,"remaining"
"O V","PrepCom",120,"regional"
"O V","PrepCom",120,"level"
"O II","PrepCom",121,"augment"
"O II","PrepCom",121,"ecosystem"
"O II","PrepCom",121,"based"
"O II","PrepCom",121,"management"
"O II","PrepCom",121,"fisheries"
"O II","PrepCom",121,"abnj"
"O II","PrepCom",121,"definition"
"O II","PrepCom",121,"common"
"O II","PrepCom",121,"purpose"
"O II","PrepCom",121,"provision"
"O II","PrepCom",121,"agreed"
"O II","PrepCom",121,"governance"
"O II","PrepCom",121,"principles"
"O II","PrepCom",121,"formation"
"O II","PrepCom",121,"collaborative"
"O II","PrepCom",121,"institutional"
