"SWOT","Negotiation.phase","msg.number","Message"
"O","IGC",24,"ecosystem"
"O","IGC",25,"capacity"
"O","IGC",25,"address"
"O","IGC",25,"issues"
"O","IGC",25,"governance"
"O","IGC",25,"seas"
"O","IGC",25,"enhance"
"O","IGC",25,"implementation"
"O","IGC",25,"informed"
"O","IGC",25,"coordinated"
"O","IGC",25,"decisions"
"O","IGC",25,"sustainable"
"O","IGC",25,"marine"
"O","IGC",25,"resources"
"O","IGC",25,"i.e"
"O","IGC",25,"marine"
"O","IGC",25,"spatial"
"O","IGC",25,"planning"
"O","IGC",25,"including"
"O","IGC",25,"tools"
"O","IGC",25,"data"
"O","IGC",25,"dynamic"
"O","IGC",25,"management"
"O","IGC",26,"benefit"
"O","IGC",26,"vulneralble"
"O","IGC",26,"marine"
"O","IGC",26,"ecosystems"
"O","IGC",26,"vme"
"O","IGC",26,"development"
"O","IGC",26,"regional"
"O","IGC",26,"plans"
"O","IGC",26,"standardized"
"O","IGC",26,"assessment"
"O","IGC",26,"approaches"
"O","IGC",26,"harmonization"
"O","IGC",26,"wide"
"O","IGC",26,"range"
"O","IGC",26,"party"
"O","IGC",26,"agreements"
"S","IGC",27,"openess"
"S","IGC",27,"inclusion"
"S","IGC",27,"reviewing"
"S","IGC",27,"priorities"
"S","IGC",27,"developing"
"S","IGC",27,"parties"
"S","IGC",27,"terms"
"S","IGC",27,"capacity"
"S","IGC",27,"building"
"S","IGC",27,"transfer"
"S","IGC",27,"marine"
"S","IGC",27,"technology"
"W","IGC",28,"undermine"
"W","IGC",28,"context"
"W","IGC",28,"reveals"
"W","IGC",28,"soft"
"W","IGC",28,"terms"
"W","IGC",28,"level"
"W","IGC",28,"precision"
"W","IGC",28,"obligation"
"W","IGC",28,"delegation"
"W","IGC",28,"found"
"W","IGC",28,"instrument"
"W","IGC",29,"clarification"
"W","IGC",29,"principles"
"W","IGC",29,"unclos"
"W","IGC",29,"freedom"
"W","IGC",29,"seas"
"W","IGC",29,"responsibility"
"W","IGC",29,"protect"
"W","IGC",29,"preserve"
"W","IGC",29,"marine"
"W","IGC",29,"environment"
"W","IGC",29,"suit"
"W","IGC",29,"circumstances"
"S","IGC",30,"draft"
"S","IGC",30,"text"
"S","IGC",30,"specific"
"S","IGC",30,"objectives"
"S","IGC",30,"abmts"
"S","IGC",30,"include"
"S","IGC",30,"rehabilitating"
"S","IGC",30,"restoring"
"S","IGC",30,"biodiversity"
"S","IGC",30,"ecosystems"
"S","IGC",30,"enhancing"
"S","IGC",30,"productivity"
"S","IGC",30,"health"
"S","IGC",30,"building"
"S","IGC",30,"resilience"
"S","IGC",30,"stressors"
"S","IGC",30,"including"
"S","IGC",30,"related"
"S","IGC",30,"climate"
"S","IGC",30,"change"
"S","IGC",30,"ocean"
"S","IGC",30,"acidification"
"S","IGC",30,"marine"
"S","IGC",30,"pollution"
"O","IGC",31,"equalize"
"O","IGC",31,"fisheries"
"O","IGC",31,"benefits"
"O","IGC",31,"distribution"
"O","IGC",31,"low"
"O","IGC",31,"income"
"O","IGC",32,"treaty"
"O","IGC",32,"process"
"O","IGC",32,"opportunity"
"O","IGC",32,"create"
"O","IGC",32,"empowered"
"O","IGC",32,"international"
"O","IGC",32,"organization"
"O","IGC",32,"dedicated"
"O","IGC",32,"holistic"
"O","IGC",32,"approach"
"O","IGC",32,"protecting"
"O","IGC",32,"preserving"
"O","IGC",32,"ocean"
"O","IGC",32,"life"
"O","IGC",32,"services"
"O","IGC",32,"humankind"
"W","IGC",33,"elements"
"W","IGC",33,"package"
"W","IGC",33,"consideration"
"W","IGC",33,"require"
"W","IGC",33,"institutional"
"W","IGC",33,"responses"
"O","IGC",34,"ensure"
"O","IGC",34,"sectoral"
"O","IGC",34,"activities"
"O","IGC",34,"abnj"
"O","IGC",34,"managed"
"O","IGC",34,"equitably"
"O","IGC",34,"direct"
"O","IGC",34,"economic"
"O","IGC",34,"activity"
"S","IGC",35,"unclos"
"S","IGC",35,"guidance"
"S","IGC",35,"confirming"
"S","IGC",35,"impose"
"S","IGC",35,"additional"
"S","IGC",35,"obligations"
"S","IGC",35,"respect"
"S","IGC",35,"protection"
"S","IGC",35,"preservation"
"S","IGC",35,"marine"
"S","IGC",35,"environment"
"S","IGC",36,"implementation"
"S","IGC",36,"consent"
"S","IGC",36,"existing"
"S","IGC",36,"bodies"
"S","IGC",36,"ensure"
"S","IGC",36,"undermining"
"S","IGC",36,"conflict"
"S","IGC",37,"parties"
"S","IGC",37,"affirmative"
"S","IGC",37,"duty"
"S","IGC",37,"ensure"
"S","IGC",37,"activities"
"S","IGC",37,"jurisdiction"
"S","IGC",37,"control"
"S","IGC",37,"conducted"
"S","IGC",37,"manner"
"S","IGC",37,"significant"
"S","IGC",37,"adverse"
"S","IGC",37,"impacts"
"S","IGC",37,"threats"
"S","IGC",37,"due"
"S","IGC",37,"transboundary"
"S","IGC",37,"pollution"
"O","IGC",38,"concept"
"O","IGC",38,"maritime"
"O","IGC",38,"policy"
"O","IGC",38,"provide"
"O","IGC",38,"direction"
"O","IGC",38,"utilization"
"O","IGC",38,"preservation"
"W","IGC",39,"definition"
"W","IGC",39,"mpas"
"S","IGC",40,"recognition"
"S","IGC",40,"iportance"
"S","IGC",40,"equitable"
"S","IGC",40,"transparent"
"S","IGC",40,"stakeholder"
"S","IGC",40,"engagement"
"S","IGC",40,"participation"
"O","PrepCom",41,"develop"
"O","PrepCom",41,"logistics"
"O","PrepCom",41,"surrounding"
"O","PrepCom",41,"capacity"
"O","PrepCom",41,"building"
"O","PrepCom",41,"financial"
"O","PrepCom",41,"mechanisms"
"O","PrepCom",41,"developing"
"O","PrepCom",41,"countries"
"O","PrepCom",41,"sids"
"O","PrepCom",42,"promote"
"O","PrepCom",42,"fast"
"O","PrepCom",42,"action"
"O","PrepCom",42,"global"
"O","PrepCom",42,"plastic"
"O","PrepCom",42,"management"
"W","PrepCom",43,"solve"
"W","PrepCom",43,"freedom"
"W","PrepCom",43,"seas"
"W","PrepCom",43,"issue"
"W","PrepCom",43,"support"
"W","PrepCom",43,"implementing"
"W","PrepCom",43,"mpas"
"W","PrepCom",43,"abnj"
"W","PrepCom",43,"unwilling"
"W","PrepCom",43,"accept"
"W","PrepCom",43,"designations"
"W","PrepCom",43,"bound"
"S","PrepCom",44,"ensure"
"S","PrepCom",44,"developing"
"S","PrepCom",44,"countries"
"S","PrepCom",44,"capacity"
"S","PrepCom",44,"actions"
"S","PrepCom",44,"conservation"
"S","PrepCom",44,"biological"
"S","PrepCom",44,"diversity"
"S","PrepCom",44,"abnj"
"S","PrepCom",45,"embracing"
"S","PrepCom",45,"rfmos"
"S","PrepCom",45,"key"
"S","PrepCom",45,"institutions"
"S","PrepCom",45,"represents"
"S","PrepCom",45,"strong"
"S","PrepCom",45,"possibility"
"S","PrepCom",45,"cooperation"
"O","PrepCom",46,"term"
"O","PrepCom",46,"undermine"
"O","PrepCom",46,"broad"
"O","PrepCom",46,"positive"
