"uniqueID","Publication.Year","Negotiation.phase","SWOT.Cats","SWOT","Category","Message"
188,2017,"PrepCom","O III","O","III","to strengthen and revive regional institutions and initiatives for biodiversity conservation both within and beyond national jurisdiction."
189,2017,"PrepCom","O II","O","II","Institutional working group or task force to develop and coordinat common approaches in the establishment and implementation of the BBNJ elements, such as work programmes, scientific criteria,monitoring schemes, and management plans."
190,2017,"PrepCom","W I","W","I","questions remain as to how the development of the BBNJ agreement will deal with existing arrangements."
191,2017,"PrepCom","W I","W","I","the concept of ABNJ is not defined by UNCLOS, the instrument under which the ILBI will be made."
192,2017,"PrepCom","W I","W","I","The inclusion of the impacts of fisheries on biodiversity is still in question."
195,2017,"PrepCom","W I","W","I","There is no single universally recognized notion of MPA and related concepts have different definitions."
201,2017,"PrepCom","O III","O","III","To ensure that species and habitat conservation are integrated."
203,2016,"PrepCom","S III","S","III","Delegations agreed that poorly regulated fishing is the main threat to marine biodiversity in ABNJ."
208,2016,"PrepCom","O I","O","I","To enhance scientific exploration, research and knowledge."
209,2016,"PrepCom","S VI","S","VI","The development of BBNJ allows Indonesia to have a fair share of marine resources"
210,2016,"PrepCom","S II","S","II","the use of ABMTs, including MPAs to ensure the conservation of BBNJ carry implications for a diverse range of activities, encompassing the fisheries sector, seabed mining, pharmaceutical research focused on MGRs and maritime cargo shipping."
224,2016,"PrepCom","S VI","S","VI","Efforts have been made to promote the participation of SIDS and LDCs in the BBNJ negotiations, including through a voluntary trust fund to support the attendance of these countries."
226,2015,"BBNJ WG","S III","S","III","coordination to establish MPAs between existing mechanisms and new organizations."
242,2014,"BBNJ WG","S II","S","II","The BBNJ agreement would not replace RFMOs or directly regulate fisheries."
245,2014,"BBNJ WG","O II","O","II","To incorporate measures of compliance control."
248,2014,"BBNJ WG","O II","O","II","to fill existing gaps and strengthen the effectiveness of regional organizations to address ABNJ issues."
249,2014,"BBNJ WG","S I","S","I","It will provide the ground to build global consensus on the conservation and sustainable use of biological diversity in ABNJ."
270,2014,"BBNJ WG","O I","O","I","to operationalize management principles such as ecosystem‐based and precautionary management."
271,2014,"BBNJ WG","S I","S","I","the multiple reasons and objectives for including ABMTs in an agreement on conservation of biodiversity in ABNJ have been highlighted."
277,2013,"BBNJ WG","S III","S","III","The recognition of the need to determine a legal basis for designating MPAs that is consistent with UNCLOS."
294,2012,"BBNJ WG","W III","W","III","in its likely that States would only start to implement the agreement fully after they have become a Party to it and it has entered into force."
297,2012,"BBNJ WG","O II","O","II","to obtain broad international support for the provisions on MPA networks"
305,2012,"BBNJ WG","O I","O","I","to incorporate and operationalise modern management principles such as precaution ecosystem-based management and integration."
306,2012,"BBNJ WG","S I","S","I","MPAs are highlighted as a key conservation tool for marine protection in ABNJ."
313,2012,"BBNJ WG","T II","T","II","divisions of opinion exist between countries as to the need for more effective governance."
2,2021,"IGC","O II","O","II","to complement conservation aspects of RMFOs."
3,2020,"IGC","T II","T","II","Economic interests are prevailing in face of exploitation of mesopelagic fish."
7,2020,"IGC","T II","T","II","Shipping and mining are governed at a global level, but without clear obligations or mechanisms for cooperating with other sectoral governance bodies ."
8,2020,"IGC","O IV","O","IV","to improve the development of ABMT proposals, their implementation and monitoring."
9,2020,"IGC","W II","W","II","Lack of harmonization among sectoral management bodies results in little response to sectoral and cross-sectoral impacts."
10,2020,"IGC","T II","T","II","Duplication of mandates of existing bodies."
11,2020,"IGC","W III","W","III","The BBNJ negotiations have largely treated each of its four elements (marine genetic resources, area-based management tools, capacity building and technology transfer, and environmental impact assessments) as distinct and unrelated issues."
13,2020,"IGC","T II","T","II","lack of agreement between States on many of the draft provisions."
15,2020,"IGC","S II","S","II","The interests of coastal States will be relevant for future provisions."
16,2020,"IGC","W I","W","I","The current revised draft text does not provide guidance on how holders of relevant traditional knowledge will be identified or designated or how to ensure that these holders are legitimate."
17,2020,"IGC","W I","W","I","The term “not undermine” is ambiguous."
18,2020,"IGC","O III","O","III","CBTT could further the goal of holistic and ecosystem-based ocean management by connecting actions taken in coastal areas with those offshore and in ABNJ."
19,2020,"IGC","O III","O","III","Considering the proximity of potential ABNJ MPAs to EEZs could be advantageous for MPA enforcement."
20,2020,"IGC","O III","O","III","Strong protection measures via other types of area-based conservation tools as part of a larger seascape planning initiatives can help promote diversity and redundancy outside MPAs."
21,2020,"IGC","S VI","S","VI","Both international organizations and NGOs are at the forefront of defining issues and proposing solutions."
