"Category","Negotiation.phase","msg.number","Message"
"II","IGC",414,"based"
"II","IGC",414,"specific"
"II","IGC",414,"proposals"
"II","IGC",414,"sacrificing"
"II","IGC",414,"benefits"
"II","IGC",414,"comprehensive"
"II","IGC",414,"regime"
"III","IGC",415,"prevent"
"III","IGC",415,"reduce"
"III","IGC",415,"control"
"III","IGC",415,"transboundary"
"III","IGC",415,"pollutants"
"III","IGC",415,"underwater"
"III","IGC",415,"noise"
"I","PrepCom",416,"implement"
"I","PrepCom",416,"mpas"
"I","PrepCom",416,"stronger"
"I","PrepCom",416,"existing"
"I","PrepCom",416,"rfmo"
"I","PrepCom",416,"closures"
"I","PrepCom",416,"including"
"I","PrepCom",416,"water"
"I","PrepCom",416,"column"
"I","PrepCom",416,"seabed"
"I","PrepCom",416,"sites"
"I","PrepCom",416,"completely"
"I","PrepCom",416,"limits"
"I","PrepCom",416,"human"
"III","PrepCom",417,"due"
"III","PrepCom",417,"regard"
"III","PrepCom",417,"main"
"III","PrepCom",417,"concept"
"III","PrepCom",417,"regulating"
"III","PrepCom",417,"relationships"
"III","PrepCom",417,"coastal"
"III","PrepCom",417,"carrying"
"III","PrepCom",417,"activities"
"III","PrepCom",417,"abnj"
"I","PrepCom",418,"science"
"I","PrepCom",418,"diplomacy"
"I","PrepCom",418,"strengthen"
"I","PrepCom",418,"international"
"I","PrepCom",418,"alliances"
"II","PrepCom",419,"divergent"
"II","PrepCom",419,"conflict"
"II","PrepCom",419,"proximity"
"II","PrepCom",419,"inclusiveness"
"III","PrepCom",420,"coastal"
"III","PrepCom",420,"establish"
"III","PrepCom",420,"abmts"
"III","PrepCom",420,"water"
"III","PrepCom",420,"extended"
"III","PrepCom",420,"continental"
"III","PrepCom",420,"shelf"
"III","PrepCom",420,"support"
"III","PrepCom",420,"environmental"
"III","PrepCom",420,"protection"
"III","PrepCom",420,"measures"
"III","PrepCom",420,"respect"
"III","PrepCom",420,"shelf"
"III","PrepCom",420,"biodiversity"
"II","PrepCom",421,"fisheries"
"II","PrepCom",421,"context"
"II","PrepCom",421,"build"
"II","PrepCom",421,"existing"
"II","PrepCom",421,"unclos"
"II","PrepCom",421,"fish"
"II","PrepCom",421,"stock"
"II","PrepCom",421,"provisions"
"II","PrepCom",421,"extending"
"II","PrepCom",421,"broad"
"II","PrepCom",421,"biodiversity"
"II","PrepCom",421,"considerations"
"II","PrepCom",421,"types"
"II","PrepCom",421,"fisheries"
"III","PrepCom",422,"integrate"
"III","PrepCom",422,"relevant"
"III","PrepCom",422,"elements"
"III","PrepCom",422,"impacting"
"III","PrepCom",422,"biodiversity"
"III","PrepCom",422,"abnj"
