"Category","Negotiation.phase","msg.number","Message"
"VI","PrepCom",349,"developing"
"VI","PrepCom",349,"countries"
"VI","PrepCom",349,"ensuring"
"VI","PrepCom",349,"ethic"
"VI","PrepCom",349,"environmental"
"VI","PrepCom",349,"stewardship"
"III","PrepCom",350,"define"
"III","PrepCom",350,"obligations"
"III","PrepCom",350,"cooperate"
"III","PrepCom",350,"coastal"
"IV","PrepCom",351,"comprehensive"
"IV","PrepCom",351,"analysis"
"IV","PrepCom",351,"marine"
"IV","PrepCom",351,"environment"
"IV","PrepCom",351,"assessing"
"IV","PrepCom",351,"fishing"
"IV","PrepCom",351,"activities"
"IV","PrepCom",351,"due"
"IV","PrepCom",351,"timing"
"IV","PrepCom",351,"methods"
"IV","PrepCom",351,"gear"
"IV","PrepCom",351,"stocks"
"IV","PrepCom",351,"targeted"
"IV","PrepCom",351,"reasons"
"IV","PrepCom",351,"harm"
"II","PrepCom",352,"strengthen"
"II","PrepCom",352,"governance"
"II","PrepCom",352,"shared"
"II","PrepCom",352,"fisheries"
"II","PrepCom",352,"cooperating"
"II","PrepCom",352,"rfmos"
"II","PrepCom",352,"enhancing"
"II","PrepCom",352,"role"
"V","PrepCom",353,"provide"
"V","PrepCom",353,"collaborative"
"V","PrepCom",353,"forum"
"V","PrepCom",353,"potential"
"V","PrepCom",353,"financial"
"V","PrepCom",353,"support"
"V","PrepCom",353,"global"
"V","PrepCom",353,"regional"
"V","PrepCom",353,"organizations"
"V","PrepCom",353,"coordinate"
"V","PrepCom",353,"efforts"
"V","PrepCom",353,"conservation"
"V","PrepCom",353,"sustainable"
"V","PrepCom",353,"marine"
"V","PrepCom",353,"biodiversity"
"V","PrepCom",353,"abnj"
"I","PrepCom",354,"implement"
"I","PrepCom",354,"clarify"
"I","PrepCom",354,"regime"
"I","PrepCom",354,"applicable"
"I","PrepCom",354,"extended"
"I","PrepCom",354,"continental"
"I","PrepCom",354,"shelf"
"III","PrepCom",355,"achieve"
"III","PrepCom",355,"consistency"
"III","PrepCom",355,"previously"
"III","PrepCom",355,"examined"
"III","PrepCom",355,"rights"
"III","PrepCom",355,"sovereignty"
"III","PrepCom",355,"jurisdiction"
"III","PrepCom",355,"coastal"
"III","PrepCom",355,"sustainable"
"III","PrepCom",355,"ocean"
"III","PrepCom",355,"governance"
"III","PrepCom",356,"influence"
"III","PrepCom",356,"shape"
"III","PrepCom",356,"future"
"III","PrepCom",356,"mandates"
"III","PrepCom",356,"rfmos"
"III","PrepCom",356,"filling"
"III","PrepCom",356,"addressing"
"III","PrepCom",356,"governance"
"III","PrepCom",356,"gaps"
"I","PrepCom",357,"ensure"
"I","PrepCom",357,"public"
"I","PrepCom",357,"engagement"
"IV","PrepCom",358,"implement"
"IV","PrepCom",358,"combination"
"IV","PrepCom",358,"monitoring"
"IV","PrepCom",358,"enforcement"
"IV","PrepCom",358,"measures"
"VI","PrepCom",359,"push"
"VI","PrepCom",359,"equitable"
"VI","PrepCom",359,"sharing"
"VI","PrepCom",359,"benefits"
"VI","PrepCom",359,"human"
"VI","PrepCom",359,"activities"
"VI","PrepCom",359,"abnj"
"I","BBNJ WG",360,"provide"
"I","BBNJ WG",360,"detail"
"I","BBNJ WG",360,"environmental"
"I","BBNJ WG",360,"protection"
"I","BBNJ WG",360,"obligations"
"I","BBNJ WG",360,"institutional"
"I","BBNJ WG",360,"framework"
"I","BBNJ WG",360,"implementation"
"II","BBNJ WG",361,"aprovide"
"II","BBNJ WG",361,"scope"
"II","BBNJ WG",361,"external"
"II","BBNJ WG",361,"review"
"II","BBNJ WG",361,"global"
"II","BBNJ WG",361,"community"
"II","BBNJ WG",361,"representing"
"II","BBNJ WG",361,"broader"
"II","BBNJ WG",361,"range"
"I","BBNJ WG",362,"identify"
"I","BBNJ WG",362,"overarching"
"I","BBNJ WG",362,"principles"
"I","BBNJ WG",362,"applicable"
"I","BBNJ WG",362,"biodiversity"
"I","BBNJ WG",362,"abnj"
"I","BBNJ WG",362,"emphasizing"
"I","BBNJ WG",362,"ecosystem"
"I","BBNJ WG",362,"precautionary"
"I","BBNJ WG",362,"approaches"
"I","BBNJ WG",362,"scientific"
"I","BBNJ WG",362,"information"
"III","BBNJ WG",363,"oblige"
"III","BBNJ WG",363,"parties"
"III","BBNJ WG",363,"comply"
"III","BBNJ WG",363,"agreed"
"III","BBNJ WG",363,"mpa"
"III","BBNJ WG",363,"management"
"III","BBNJ WG",363,"measures"
"III","BBNJ WG",363,"authorise"
"III","BBNJ WG",363,"undertake"
"III","BBNJ WG",363,"activities"
"III","BBNJ WG",363,"contrary"
"III","BBNJ WG",363,"objectives"
"III","BBNJ WG",363,"mpa"
"III","BBNJ WG",363,"established"
"III","BBNJ WG",364,"develop"
"III","BBNJ WG",364,"process"
"III","BBNJ WG",364,"spatial"
"III","BBNJ WG",364,"planning"
"III","BBNJ WG",364,"designed"
"III","BBNJ WG",364,"foster"
"III","BBNJ WG",364,"integrated"
"III","BBNJ WG",364,"ecosystem"
"III","BBNJ WG",364,"based"
"III","BBNJ WG",364,"planning"
"III","BBNJ WG",364,"management"
"III","BBNJ WG",364,"includes"
"III","BBNJ WG",364,"establishment"
"III","BBNJ WG",364,"system"
"III","BBNJ WG",364,"mpas"
"III","BBNJ WG",364,"abnj"
"II","BBNJ WG",365,"parties"
"II","BBNJ WG",365,"agree"
"II","BBNJ WG",365,"recognize"
"II","BBNJ WG",365,"importance"
"II","BBNJ WG",365,"environmentally"
"II","BBNJ WG",365,"significant"
"II","BBNJ WG",365,"authorize"
"II","BBNJ WG",365,"undertake"
"II","BBNJ WG",365,"activities"
"II","BBNJ WG",365,"contrary"
"II","BBNJ WG",365,"conservation"
"II","BBNJ WG",365,"objectives"
"II","BBNJ WG",366,"traditional"
"II","BBNJ WG",366,"isolation"
"II","BBNJ WG",366,"fisheries"
"II","BBNJ WG",366,"management"
"II","BBNJ WG",366,"oceans"
"II","BBNJ WG",366,"governance"
"II","BBNJ WG",366,"exacerbates"
"II","BBNJ WG",366,"tension"
"II","BBNJ WG",366,"fisheries"
"II","BBNJ WG",366,"mpas"
"VI","IGC",367,"individual"
"VI","IGC",367,"decision"
"VI","IGC",367,"makers"
"VI","IGC",367,"ocean"
"VI","IGC",367,"users"
"VI","IGC",367,"actors"
"VI","IGC",367,"considered"
"VI","IGC",367,"duty"
"VI","IGC",367,"access"
"VI","IGC",367,"forms"
"VI","IGC",367,"knowledge"
"III","IGC",368,"coastal"
"III","IGC",368,"required"
"III","IGC",368,"ensure"
"III","IGC",368,"activities"
"III","IGC",368,"jurisdiction"
"III","IGC",368,"undermine"
"III","IGC",368,"effectiveness"
"III","IGC",368,"measures"
"III","IGC",368,"abmt"
"III","IGC",369,"integrative"
"III","IGC",369,"approaches"
"III","IGC",369,"consideration"
"III","IGC",369,"ecological"
"III","IGC",369,"connectivity"
"III","IGC",369,"vital"
"III","IGC",369,"meet"
"III","IGC",369,"conservation"
"III","IGC",369,"sustainable"
"III","IGC",369,"objectives"
"III","IGC",370,"address"
"III","IGC",370,"fishing"
"III","IGC",370,"issues"
"III","IGC",370,"contribute"
"III","IGC",370,"iuu"
"III","IGC",370,"fishing"
