PeriodCODE;index_KM;z-score_afinn;z-score_bing;count;mean_score;all_451z-scores
2;207;;0.467400701;1;;0.467400701
2;208;;1.221835857;1;;1.221835857
2;210;1.092738669;0.467400701;2;0.780069685;0.780069685
2;211;-0.383339775;-1.795904768;2;-1.089622271;-1.089622271
2;213;0.600712521;0.467400701;2;0.534056611;0.534056611
2;214;0.108686373;-1.041469612;2;-0.466391619;-0.466391619
2;215;0.600712521;-0.287034455;2;0.156839033;0.156839033
2;253;;0.467400701;1;;0.467400701
2;254;;0.467400701;1;;0.467400701
2;255;1.092738669;0.467400701;2;0.780069685;0.780069685
2;256;;0.467400701;1;;0.467400701
2;257;0.108686373;;1;;0.108686373
2;259;0.600712521;1.221835857;2;0.911274189;0.911274189
2;262;;0.467400701;1;;0.467400701
2;263;0.600712521;0.467400701;2;0.534056611;0.534056611
2;265;0.600712521;;1;;0.600712521
2;266;0.108686373;;1;;0.108686373
2;268;;-0.287034455;1;;-0.287034455
2;269;0.600712521;;1;;0.600712521
2;270;-0.383339775;-0.287034455;2;-0.335187115;-0.335187115
2;271;0.108686373;0.467400701;2;0.288043537;0.288043537
2;272;-0.383339775;-1.041469612;2;-0.712404693;-0.712404693
2;301;0.600712521;0.467400701;2;0.534056611;0.534056611
2;302;-0.875365923;-0.287034455;2;-0.581200189;-0.581200189
2;304;1.584764818;1.221835857;2;1.403300337;1.403300337
2;305;-0.383339775;-0.287034455;2;-0.335187115;-0.335187115
2;307;;0.467400701;1;;0.467400701
2;310;0.108686373;;1;;0.108686373
2;314;;-1.041469612;1;;-1.041469612
2;315;1.584764818;;1;;1.584764818
2;316;;0.467400701;1;;0.467400701
2;317;0.600712521;0.467400701;2;0.534056611;0.534056611
2;318;;1.221835857;1;;1.221835857
2;345;-1.367392072;-1.041469612;2;-1.204430842;-1.204430842
2;346;0.600712521;-0.287034455;2;0.156839033;0.156839033
2;347;-1.367392072;-1.795904768;2;-1.58164842;-1.58164842
2;348;0.600712521;0.467400701;2;0.534056611;0.534056611
2;349;0.600712521;0.467400701;2;0.534056611;0.534056611
